Substance,label
Pr,1
Ti,1
C,1
Zn,1
Al,0
Rb,0
O2,0
Fe,0
B,1
Nb,1
Ta,1
Bi,1
Pu,1
Sb,1
W,1
Cu,0
Cs,0
Te,0
